Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,-5.8776640E-020,8.3337341E-018,-8.1970758E-003,-2.8161678E-020,1.4879473E-025,3.5844757E-005,---,---,---,---,---,---,---,---,---
,,,,2,-7.0256287E-020,1.7917282E-017,-1.6310334E-002,-3.2246791E-020,3.3963185E-025,7.0674063E-005,---,---,---,---,---,---,---,---,---
,,,,3,-2.0988747E-020,2.9418172E-017,-2.2748953E-002,-3.1558761E-020,6.8626773E-025,8.5150754E-005,---,---,---,---,---,---,---,---,---
,,,,4,1.1301303E-019,4.3625533E-017,-2.9052988E-002,-3.9732882E-020,2.0028971E-024,1.1137695E-004,---,---,---,---,---,---,---,---,---
,,,,5,3.6689510E-019,6.2050812E-017,-3.3931246E-002,-4.3271809E-020,4.6679108E-024,1.0878493E-004,---,---,---,---,---,---,---,---,---
,,,,6,8.0359172E-019,8.6850616E-017,-3.8890839E-002,-6.3047642E-020,1.0718783E-023,1.3279442E-004,---,---,---,---,---,---,---,---,---
,,,,7,1.5234664E-018,1.2241916E-016,-4.2106788E-002,-7.0663105E-020,2.1373608E-023,1.0203728E-004,---,---,---,---,---,---,---,---,---
,,,,8,2.7279905E-018,1.7538496E-016,-4.3440524E-002,-7.3898062E-020,4.1481145E-023,5.0918615E-005,---,---,---,---,---,---,---,---,---
,,,,9,4.7672332E-018,2.5794705E-016,-4.4082940E-002,-1.0657770E-019,8.0958860E-023,2.9930983E-005,---,---,---,---,---,---,---,---,---
,,,,10,8.2960619E-018,3.9563796E-016,-4.3188898E-002,-1.1201638E-019,1.5491873E-022,-3.4586524E-005,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-5.8776640E-020,8.3337341E-018,-8.1970758E-003,-2.8161678E-020,1.4879473E-025,1.3279442E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,6,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-5.8776640E-020,8.3337341E-018,-4.4082940E-002,-2.8161678E-020,1.4879473E-025,-3.4586524E-005,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,9,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-037
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,4.2478105E-002,-5.0492870E-003,-4.0904092E-020,8.9456089E-007,-2.8378338E-005,-1.2338866E-020,---,---,---,---,---,---,---,---,---
,,,,2,8.4837162E-002,-1.0057929E-002,-4.9050986E-020,1.7802951E-006,-2.9092690E-005,-1.5030151E-020,---,---,---,---,---,---,---,---,---
,,,,3,1.2316028E-001,-1.5213904E-002,-1.5084743E-020,3.1250030E-006,-2.7438233E-005,-2.0839514E-020,---,---,---,---,---,---,---,---,---
,,,,4,1.6128830E-001,-2.0318064E-002,7.7636897E-020,4.1916877E-006,-2.7895812E-005,-2.6971341E-020,---,---,---,---,---,---,---,---,---
,,,,5,1.9604771E-001,-2.5513190E-002,2.5348033E-019,5.8663430E-006,-2.5360881E-005,-3.8896447E-020,---,---,---,---,---,---,---,---,---
,,,,6,2.3126272E-001,-3.0648898E-002,5.5608216E-019,6.9319123E-006,-2.6098232E-005,-5.3764901E-020,---,---,---,---,---,---,---,---,---
,,,,7,2.6241884E-001,-3.5889135E-002,1.0550237E-018,9.1396579E-006,-2.1502797E-005,-8.5618471E-020,---,---,---,---,---,---,---,---,---
,,,,8,2.8864467E-001,-4.1182249E-002,1.8900998E-018,1.1958693E-005,-1.5352943E-005,-1.4276033E-019,---,---,---,---,---,---,---,---,---
,,,,9,3.1377509E-001,-4.6424306E-002,3.3041211E-018,1.3839225E-005,-1.2630850E-005,-2.3254390E-019,---,---,---,---,---,---,---,---,---
,,,,10,3.3561351E-001,-5.1720891E-002,5.7512797E-018,1.6613059E-005,-5.5554651E-006,-4.1720522E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,3.3561351E-001,-5.0492870E-003,-4.0904092E-020,1.6613059E-005,-5.5554651E-006,-1.2338866E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,4.2478105E-002,-5.1720891E-002,-4.0904092E-020,8.9456089E-007,-2.8378338E-005,-1.2338866E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-8.2132270E-020,8.3337341E-018,-8.8708825E-003,-3.0553170E-020,2.0383551E-025,3.8241366E-005,---,---,---,---,---,---,---,---,---
,,,,2,-9.6032000E-020,1.7917222E-017,-1.7656739E-002,-3.5082215E-020,4.7692231E-025,7.5445806E-005,---,---,---,---,---,---,---,---,---
,,,,3,-2.2135957E-020,2.9418067E-017,-2.4851858E-002,-3.5699724E-020,9.2209948E-025,9.3903674E-005,---,---,---,---,---,---,---,---,---
,,,,4,1.7429923E-019,4.3625659E-017,-3.1913606E-002,-4.5506910E-020,2.3573372E-024,1.2313657E-004,---,---,---,---,---,---,---,---,---
,,,,5,5.4431923E-019,6.2051944E-017,-3.7619113E-002,-5.2373002E-020,5.1495427E-024,1.2568465E-004,---,---,---,---,---,---,---,---,---
